"filename", "language", "C++", "dream", "comment", "blank", "total"
"/home/napbad/Projects/dream/src/runtime/global/global_runtime_depen.cpp", "C++", 2, 0, 3, 5, 10
"/home/napbad/Projects/dream/src/runtime/global/global_runtime_depen.h", "C++", 3, 0, 3, 4, 10
"/home/napbad/Projects/dream/src/runtime/reserve/Finally.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/runtime/reserve/Finally.h", "C++", 14, 0, 3, 6, 23
"/home/napbad/Projects/dream/src/runtime/reserve/d_define.h", "C++", 4, 0, 3, 4, 11
"/home/napbad/Projects/dream/src/runtime/run/ExecutePool.cpp", "C++", 18, 0, 3, 6, 27
"/home/napbad/Projects/dream/src/runtime/run/ExecutePool.h", "C++", 13, 0, 3, 9, 25
"/home/napbad/Projects/dream/src/runtime/run/ExecuteUnit.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/runtime/run/ExecuteUnit.h", "C++", 10, 0, 3, 8, 21
"/home/napbad/Projects/dream/src/util/file_util.cpp", "C++", 306, 0, 14, 62, 382
"/home/napbad/Projects/dream/src/util/file_util.h", "C++", 75, 0, 105, 33, 213
"/home/napbad/Projects/dream/src/util/gc_relative_util.cpp", "C++", 19, 0, 3, 4, 26
"/home/napbad/Projects/dream/src/util/gc_relative_util.h", "C++", 16, 0, 3, 8, 27
"/home/napbad/Projects/dream/src/util/parser_util.cpp", "C++", 143, 0, 11, 37, 191
"/home/napbad/Projects/dream/src/util/parser_util.h", "C++", 18, 0, 47, 12, 77
"/home/napbad/Projects/dream/src/util/response_util.cpp", "C++", 15, 0, 3, 5, 23
"/home/napbad/Projects/dream/src/util/response_util.h", "C++", 8, 0, 18, 7, 33
"/home/napbad/Projects/dream/src/util/string_util.cpp", "C++", 239, 0, 7, 53, 299
"/home/napbad/Projects/dream/src/util/string_util.h", "C++", 37, 0, 131, 26, 194
"Total", "-", 14680, 144, 1443, 3850, 20117
